,State,2012_#Companies,2013_#Companies,2014_#Companies,2015_#Companies,2016_#Companies
0,Alabama,73661,73371,73154,73409,73976
1,Alaska,16656,16733,16841,16952,17059
2,Arizona,101205,102313,103312,105004,106963
3,Arkansas,50412,50318,50151,50451,50511
4,California,701899,711086,724483,740303,751982
5,Colorado,126478,128087,130693,133930,136351
6,Connecticut,71584,71714,71560,71835,71526
7,Delaware,19111,19400,19582,20048,20390
8,District of Columbia,17123,17304,17468,17832,18095
9,Florida,409368,417164,424551,435582,445126
10,Georgia,168614,169726,171601,174802,177410
11,Hawaii,24923,25017,24997,25110,25331
12,Idaho,35966,36212,36793,37507,38436
13,Illinois,253146,253743,254089,256016,256603
14,Indiana,109104,108554,108309,108558,108658
15,Iowa,62724,62453,62344,62482,62639
16,Kansas,58159,58068,58219,58391,58246
17,Kentucky,67898,68574,68827,68816,68726
18,Louisiana,80893,81117,81289,81513,81020
19,Maine,33078,33237,33292,33622,33927
20,Maryland,107324,108071,108445,109021,109507
21,Massachusetts,138386,139399,140226,141589,143042
22,Michigan,172118,172359,172661,173309,173416
23,Minnesota,117124,117503,117789,118525,119039
24,Mississippi,44734,44519,44465,44424,44414
25,Missouri,113678,117319,120469,124388,126038
26,Montana,31370,31636,31810,32222,32450
27,Nebraska,42029,42189,42507,42993,43409
28,Nevada,47408,48244,49191,50562,51591
29,New Hampshire,30522,30427,30389,30574,30627
30,New Jersey,192704,194184,194052,193960,194218
31,New Mexico,35018,34866,34702,34569,34372
32,New York,450189,455727,459266,462660,465139
33,North Carolina,167077,167548,168472,171419,174314
34,North Dakota,19520,19894,20305,20370,19979
35,Ohio,186870,186026,185539,185470,184738
36,Oklahoma,72041,72599,73014,73194,72661
37,Oregon,87717,88678,89739,91715,93640
38,Pennsylvania,229428,229492,229522,230057,230357
39,Rhode Island,24022,23965,23964,24169,24259
40,South Carolina,77617,77942,78484,79649,80934
41,South Dakota,21522,21746,21904,22113,22205
42,Tennessee,96348,96308,96270,97091,98089
43,Texas,404116,411538,419500,428461,434145
44,Utah,58560,59900,61242,62916,64524
45,Vermont,18216,18176,18097,18126,18148
46,Virginia,147929,148827,149464,150984,152020
47,Washington,143147,144705,146727,149765,152430
48,West Virginia,28613,28211,27902,27535,27038
49,Wisconsin,108389,108110,108061,108745,108799
50,Wyoming,17804,17741,17852,18111,17950
